id_pedido;cantidad;fecha_limite;tipo_producto
1;12000;04-06-2025;A
2;1200000;04-06-2025;A
3;307200;04-06-2025;A
4;192000;04-06-2025;A
5;180000;04-06-2025;A
6;2720000;04-06-2025;A
7;3027200;04-06-2025;A
8;936000;04-06-2025;A
9;307200;04-06-2025;A
10;614400;04-06-2025;A
11;72000;04-06-2025;A
12;384000;04-06-2025;A
13;72000;04-06-2025;A
14;207360;04-06-2025;A
15;756000;04-06-2025;A
16;144000;04-06-2025;A
17;1337600;04-06-2025;A
18;756000;04-06-2025;A
19;144000;04-06-2025;A
20;15000;20-06-2025;A
21;12000;21-06-2025;A
22;12000;22-06-2025;A
23;960000;04-06-2025;A
