id_pedido;cantidad;fecha_limite;tipo_producto
11;12000;04-06-2025;A
21;1200000;04-06-2025;A
31;307200;04-06-2025;A
41;192000;04-06-2025;A
51;180000;04-06-2025;A
61;2720000;04-06-2025;A
71;3027200;04-06-2025;A
81;936000;04-06-2025;A
91;307200;04-06-2025;A
100;614400;04-06-2025;A
110;72000;04-06-2025;A
120;384000;04-06-2025;A
130;72000;04-06-2025;A
140;207360;04-06-2025;A
150;756000;04-06-2025;A
160;144000;04-06-2025;A
170;1337600;04-06-2025;A
180;756000;04-06-2025;A
190;144000;04-06-2025;A
200;15000;20-06-2025;A
210;12000;21-06-2025;A
220;12000;22-06-2025;A
230;960000;04-06-2025;A
